Part #,Description,List Price,WWT Cost,Customer Price,Qty,Manufacturer,Vendor,Additional Description,Cust Product #,Lab Flag (Y/N),Contract Start Date (MM/DD/YYYY),Contract End Date (MM/DD/YYYY),Serial #,Vendor Quote #,Duration,Lead Time,Cost Type
DROP OUT,8IN DROPOUT GALVANIZED,,$2.86 ,,10,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
BW4,WING CLIP ROD AND WIRE FASTENER,,$31.68 ,,100,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
WB48WMK,FLEXTRAY WALL MOUNT KIT,,$5.32 ,,2,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FTA9WTKFB,WALL TERM KIT BLK,,$6.64 ,,2,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FTA100CC,CONDUIT CLIP,,$3.69 ,,50,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FLEXMATE2,CLIP 1 11/32IN,,$0.35 ,,600,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FLEXMATE TOOL,CRIMPING TOOL,,$73.54 ,,6,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FTSTLC,FTSTLC FLEXTRAY TAB-LOCKCONNECTOR,,$1.15 ,,500,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
90 DEGREE KIT,90 DEGREE KIT 2 BARS 8 WASHER SLICE KIT,,$13.99 ,,10,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FTACRS-4 ZN,4INCH HIGH CORNER 6 RADIUS,,$32.21 ,,6,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FTACRS-12-4 ZN,4INCH HIGH CORNER RADIUS,,$39.24 ,,6,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
WB48WMK,FLEXTRAY WALL MOUNT KIT,,$5.21 ,,30,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CABLE ROLLER,CABLE ROLLER,,$36.54 ,,10,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
SB3011/2X8PVC,THREADED ROD PROTECTOR GRAY,,$2.43 ,,100,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
WB46HGLV,FLIP CLIP GALVANIZED,,$1.38 ,,80,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TRAPEZE SUPT2,TRAPEZE HANGER CLIP,,$1.58 ,,80,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
B719EB,END BUMPERS FR WIRE BSKT,,$0.14 ,,100,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
N228ZN,SPRING NUT 3/8IN16 THRD 3/8IN NUT,,$57.84 ,,200,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
CLEANSHEAR,CLEAN SHEAR CUTTING TOOL,,$188.66 ,,3,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
B104ZN,4 HOLE CORNER ANGLE ZN PLTD,,$202.15 ,,40,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
SBHB119K,HORZ RACK GROUND BAR KIT,,$76.97 ,,1,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
BCH21-W2,CABLE TO ROD 1 5/16-IN HOOK NO 12 WIRE,,$263.44 ,,50,COOPER B-LINE ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
