ITEM #,QTY,SUPPLIER,PART NUMBER,DESCRIPTION,PRICE,UNIT,ADDITIONAL DESCRIPTION 
5800,200,COOPER B-LINE SYSTEMS,N228ZN,SPRING NUT 3/8IN16 THRD 3/8IN NUT,$57.84 ,100,
5900,3,COOPER B-LINE SYSTEMS,CLEANSHEAR,CLEAN SHEAR CUTTING TOOL,$188.66 ,1,
6000,40,COOPER B-LINE SYSTEMS,B104ZN,4 HOLE CORNER ANGLE ZN PLTD,$202.15 ,100,
6100,1,COOPER B-LINE SYSTEMS,SBHB119K,HORZ RACK GROUND BAR KIT,$76.97 ,1,
6200,50,COOPER B-LINE SYSTEMS,BCH21-W2,CABLE TO ROD 1 5/16-IN HOOK NO 12 WIRE,$263.44 ,100,
6300,4,COOPER B-LINE SYSTEMS,BCH21,CABLE HOOK 1 5/16-IN 50 4-PAIR UTP,$185.56 ,100,
6400,1,CORNING OPTICAL COMMUNICATIONS,040402R5820010F,,$23.46 ,1,
6500,1,CORNING OPTICAL COMMUNICATIONS,047202R5820010F,SC/UPC DUPLEX ZIPCORD 10FT,$20.94 ,1,
6600,2,CORNING OPTICAL COMMUNICATIONS,047202R5820025F,,$23.32 ,1,
6700,1,PANDUIT CORP,F9TRL5N5NANM030,OS2 12 FIBER INTERCONNECT LSZH MPO FE,$247.60 ,1,
6800,2,PANDUIT CORP,FAPH0412BLMPO,OPTICOM MPO FAP LOADED W/4 KEY-UP/KEY-DO,$94.68 ,1,
6900,2,PANDUIT CORP,FC29N-12-10AS,SM 12 FIB LC DUPLEX ADAPTER CASSETTE,$274.44 ,1,Replaces discontinued FC9-12-10Y
7000,1,PANDUIT CORP,FMD1,DRAWER 1.75X19.85X15.33IN,$155.68 ,1,
7100,1,PANDUIT CORP,CFAPPBL1,FBR ADAPT PATCH PNL FMT24,$15.27 ,1,
7200,1,PANDUIT CORP,FAP6WBUDSCZ,FAP 6-PACK DUPLEX SC CER,$82.68 ,1,
7300,3,PANDUIT CORP,FAPB,FBR ADPT PNLS,$3.04 ,1,
7400,1,PANDUIT CORP,LCD10-14A-L,#10AWG W1/4 STUD 5/8 SPC,$254.00 ,100,
7500,1,PANDUIT CORP,LCD6-14A-L,TWO HOLE COMPRESSION CONN,$173.84 ,100,
7600,6,PANDUIT CORP,DPFP1,1-3/4X19 FILLER PANEL,$11.84 ,1,
7700,2,PANDUIT CORP,HTCT2-2-1,COPPER COMP H-TAP BRWN,$5.90 ,1,
7800,60,PANDUIT CORP,UTPSP15GRY,CAT6 PATCH CORD W/TX6 PLUS,$8.16 ,1,
7900,40,PANDUIT CORP,UTPSP5GRY,CAT 6 PATCH CORD 5 FT GREEN,$6.03 ,1,
8000,20,PANDUIT CORP,UTPSP3GRY,CAT 6 PATCH CORD 3 FT GREEN,$5.62 ,1,
8100,3,PANDUIT CORP,CPPL24WBLY,24 PORT MOD PP W/LBL,$21.21 ,1,
8200,150,PANDUIT CORP,CJH688TGGR,CAT6 TX-6 8P8W MOD GREEN W/ DC,$7.10 ,1,
8300,1,PANDUIT CORP,R2P,19IN EIA RACK ALUM BLACK,$116.08 ,1,
8400,2,PANDUIT CORP,PR2VD06,7FTX6IN DUAL SIDE VERT CBL MGR W/DOORS,$629.28 ,1,Replaces PRV6 and PREPB1. This part includes manager and panels.
8500,4,PANDUIT CORP,PRD6,VERT CBL MAN DOOR 6IN W,$158.44 ,1,
8700,2,PANDUIT CORP,RFAKIT,FAKE FLOOR ATTACHMENT KIT,$11.10 ,1,
8800,300,PANDUIT CORP,S1224-C,ENGLISH SCREW #12 24,$11.50 ,100,
8900,1,PANDUIT CORP,R2PPR2VWF,WATERFALL TROUGH FOR 2 POST RACK AND PAT,$110.73 ,1,Replaces discontinued R2PPRVWF
9000,10,PANDUIT CORP,PRSP5,PTCH RUN SPOOL 5X1.2IN,$9.56 ,1,
