ITEM #,QTY,SUPPLIER,PART NUMBER,DESCRIPTION,PRICE,UNIT,ADDITIONAL DESCRIPTION 
27700,2,MCMASTER-CARR SUPPLY COMPANY,92470A123,,$9.69 ,1,
27800,1,MCMASTER-CARR SUPPLY COMPANY,90190A315,,$13.46 ,1,
27900,1,MCMASTER-CARR SUPPLY COMPANY,90190A110,,$3.19 ,1,
28000,2,MCMASTER-CARR SUPPLY COMPANY,92240A542,,$7.13 ,1,
28100,18,MCMASTER-CARR SUPPLY COMPANY,92620A804,,$1.98 ,1,
28200,12,MCMASTER-CARR SUPPLY COMPANY,3310T57,,$48.74 ,1,
28300,1,MCMASTER-CARR SUPPLY COMPANY,76455A42,,$6.56 ,1,
28400,4,MCMASTER-CARR SUPPLY COMPANY,98023A035,,$13.24 ,1,
28500,1,MCMASTER-CARR SUPPLY COMPANY,92141A029,,$4.01 ,1,
28600,2,MCMASTER-CARR SUPPLY COMPANY,92141A031,,$6.36 ,1,
28700,1,MCMASTER-CARR SUPPLY COMPANY,92146A029,,$4.38 ,1,
28800,2,MCMASTER-CARR SUPPLY COMPANY,92146A031,,$9.81 ,1,
28900,2,MCMASTER-CARR SUPPLY COMPANY,91104A035,,$14.73 ,1,
29000,1,MCMASTER-CARR SUPPLY COMPANY,7715T73,,$129.98 ,1,
29100,1,MCMASTER-CARR SUPPLY COMPANY,7715T73,,$129.98 ,1,
29200,1,MCMASTER-CARR SUPPLY COMPANY,7715T73,,$129.98 ,1,
29300,1,MCMASTER-CARR SUPPLY COMPANY,7715T73,,$129.98 ,1,
29400,250,MCMASTER-CARR SUPPLY COMPANY,7715T16,,$0.63 ,1,
29500,10000,MOHAWK WIRE + CABLE CO,6NP4P24-GY-P-MOH-PVCE,M58295B,$123.25 ,1000,
29600,2000,MOHAWK WIRE + CABLE CO,6NP4P24-GN-P-MOH-PVCE,M58296B,$123.25 ,1000,
29700,10000,MOHAWK WIRE + CABLE CO,M58816,,$700.64 ,1000,
29800,1000,MOHAWK WIRE + CABLE CO,M58898,,$700.64 ,1000,
29900,9,PANDUIT CORP,WMPSE,HORZ MGR FRT&RR 1RU 8.9IN D,$34.89 ,1,
30000,3,PANDUIT CORP,C261X030FJC,2.61IN X .30IN,$37.03 ,1,
30100,3,PANDUIT CORP,C261X035Y1C,WHITE 75/CASSETTE 4PT IDENTIFIER,$36.08 ,1,
30200,2,PANDUIT CORP,C195X040Y1C,WHT N/ADH POLY LBL 100/CASS SGL FACE PLT,$35.23 ,1,
30300,2,PANDUIT CORP,C138X019FJC,1.38IN WIDE X .19IN HIGH,$34.55 ,1,
30400,4,PANDUIT CORP,CFPE2IWY,1G 2POS FACEPLATE,$1.62 ,1,
30500,3,PANDUIT CORP,CFPE4IWY,1G 4POS FACEPLATE,$1.62 ,1,
30600,13,PANDUIT CORP,CFPL2SY,2 PORT STAINLESS STEEL SS FACEPLATE,$7.06 ,1,
30700,17,PANDUIT CORP,CFPL4SY,4 PORT STAINLESS STEEL SS FACEPLATE,$7.06 ,1,
30800,2,PANDUIT CORP,FAP6WAQDSCZ,FAP(6)AQUA SC DPLX W/ZIRC CERAMIC SPLT S,$82.68 ,1,
30900,2,PANDUIT CORP,FAPB,FBR ADPT PNLS,$3.04 ,1,
31000,1,PANDUIT CORP,DCF5IW-X,DROP CEILING FTG,$1.09 ,1,
31100,10,PANDUIT CORP,HLS-15R0,VELCRO CABLE TIE 15 FT BLACK,$10.80 ,1,
31200,27,PANDUIT CORP,HTWC250-2-1,H TAP KIT PURPLE,$23.86 ,1,
31300,9,PANDUIT CORP,LCD4/0-38D-X,2H COMP CONN 1IN SP,$406.46 ,100,
31400,1,PANDUIT CORP,LCD6-14A-L,TWO HOLE COMPRESSION CONN,$173.84 ,100,
31500,168,PANDUIT CORP,CJH688TGGR,CAT6 TX-6 8P8W MOD GREEN W/ DC,$7.09 ,1,NOT SOLD IN 24 PACKS.
31600,110,PANDUIT CORP,CJSH6X88TGY,CAT 6A SPRING SHUTTERED JACK SHIELDED,$12.05 ,1,
31700,10,PANDUIT CORP,CMDAQSCZBL,SC DPLX (AQ) ADPTR W/ ZIRCONIA CERAMIC S,$18.77 ,1,
31800,3,PANDUIT CORP,JB1DIW-A,1-PIECE JUNCTION BOX,$4.12 ,1,
31900,300,PANDUIT CORP,PLT1.5I-C0,LOCKING TIE BLK 5.6IN,$7.10 ,100,
32000,2,PANDUIT CORP,CFAPPBL1,FBR ADAPT PATCH PNL FMT24,$15.27 ,1,
32100,50,PANDUIT CORP,UTPSP1GRY,CAT6 UTP 1FT GREEN PCORD,$5.19 ,1,
32200,50,PANDUIT CORP,UTPSP10GRY,CAT 6 PATCH CORD 10FT GREEN,$7.10 ,1,
32300,48,PANDUIT CORP,STP6X1GR,TX6 10 GIG CAT 6A SHIELDED,$8.34 ,1,
32400,48,PANDUIT CORP,STP6X10GR,TX6 10 GIG CAT 6A SHIELDED,$12.90 ,1,
32500,3,PANDUIT CORP,CP24BLY,M-C MOD PTCH PNL 24 PRT,$25.21 ,1,
32600,5,PANDUIT CORP,CPPL24WBLY,24 PORT MOD PP W/LBL,$21.21 ,1,
32700,100,PANDUIT CORP,SPS6X88-C,CAT6A SHIELDED PLUG,$1.92 ,1,
32800,100,PANDUIT CORP,SP688-C,TX6 8P8C MODULAR PLUG,$0.95 ,1,
32900,30,PANDUIT CORP,LD5IW10-A,RACEWAY P/FT,$1.25 ,1,"PRICED PER FOOT. SOLD IN 10' SECTIONS. QUOTING 3, 10' PIECES. 30' TOTAL."
33000,3,PANDUIT CORP,FLBSIM-51,51 RU FULL LENGTH BLANKING SHADE,$175.77 ,1,
33100,6,PANDUIT CORP,DPFP1,1-3/4X19 FILLER PANEL,$11.84 ,1,
33200,2,PANDUIT CORP,FMT1,FIBER TRAY 24-PORT,$79.42 ,1,
33300,0,,NO BID,,$0.00 ,0,
33400,0,,NO BID,,$0.00 ,0,
33500,4,LOCKMASTERS INC,SG8077PAD,,$233.21 ,1,
33600,0,,NO BID,,$0.00 ,0,
33700,0,,NO BID,,$0.00 ,0,
33800,100,BURNDY LLC,145PTAG,FLAME RETARDANT NYLON 94V0 TAG,$0.67 ,1,
33900,200,SOUTHWIRE TPC,TPCLF-4/0-GN-AMI-CUT REEL,57126801 PUT ON RL 12IN IN DIA OR BIGGER,"$5,602.14 ",1000,
34000,6,ABB INSTALLATION PRODUCTS INC,BG100-14-4,TC BG100144 1IN GRND BUSH FOR 14-4 W,"$1,617.28 ",100,
34100,4,ABB INSTALLATION PRODUCTS INC,BG200-14-20,TC BG2001420 2IN GRND BUSH FOR 14-2/,"$1,660.85 ",100,
34200,4,ABB INSTALLATION PRODUCTS INC,BG250-14-20,TC BG2501420 2 1/2IN GRND BUSH FOR 1,"$2,082.78 ",100,
34300,30,ABB INSTALLATION PRODUCTS INC,4HPS,BB 4HPS SPLIT-BOLT CONNECTOR 4-12 A,$314.65 ,100,
34400,15,ABB INSTALLATION PRODUCTS INC,40HPS,BB 40HPS SPLIT - BOLT CONNECTOR 4/0,"$1,836.68 ",100,
34500,4,TRANSITION NETWORKS,SGPAT1013-105,,$323.72 ,1,
34600,4,TRIPP LITE MANUFACTURING COMPANY,SMART5000XFMRXL,5000VA SMPRO RCKTWR 5KVA 120V/208V 11OUT,"$2,714.32 ",1,
,,,,Total in USD (Tax not included),,,
