Part Number,Product,Qty,Ext Qty,Cat,List Price,Ext List Price,Pricing Comments,Comments,Reseller Net Price,Reseller Ext Net Price,Reseller Net Discount,Service Months,Currency Code,Contingency,Quote Name,Grouping Default,System Class,Hardware Total,Software Total,Storage Total,Top Root Line #,Child Item Seq,Orderable Flag,SOC Model,SOC System Qty,Total # of Heads,Total # of Shelves,JBOD Qty,Disk 1,# of Shelves disk 1,# of Shelves disk 2,Switch,Total # of Switches,Software Options,Software Licence Capacity,SOC Hardware Support,SOC Installation,SOC Software Subscription,Protocols,Product Type,Grouping Override,Disk 2
DS224C-SL-.96-12S-SK,"SSD Shelf,12G,12x960GB,-SK",1,1,D,"23,695.00","23,695.00",,,"8,378.93","8,378.93",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Storage,,,,,362798917,362798928,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-CL-BASE,"SW-2,Base,CL,Node",1,1,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798862,362798864,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-2720A-TPM-C,"SW,Trusted Platform Module Enabled,2720A,-C",2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798866,362798884,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-2720A-NVE-C,"SW,Data at Rest Encryption Enabled,2720A,-C",2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798866,362798885,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-PREMIUM-NLSAS-01-C,"SW,Per-0.1TB,Premium,NLSAS,01,-C",3840,3840,K,32,"122,880.00",,,11.32,"43,468.80",64.63,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798866,362798889,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,BUNDLE,,
SW-PREMIUM-SSD-01-C,"SW,Per-0.1TB,Premium,SSD,01,-C",115,115,K,368,"42,320.00",,,130.13,"14,964.95",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798866,362798894,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,BUNDLE,,
DATA-AT-REST-ENCRYPTION,Data at Rest Encryption Capable Operating Sys,2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362798866,362798910,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
PS-DEPLOY-BASIC-FAS-L,"PS Deployment,Basic,FAS,Low",1,1,P,"2,500.00","2,500.00",,,"1,899.84","1,899.84",24.01,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362798866,362798936,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
CS-BASE-SUPPORT,Base Software Support,1,1,S,"12,721.60","12,721.60",,,"6,485.54","6,485.54",49.02,36,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362798866,3627989411,Y-Orderable Part,FAS2720A,,,,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,,,,
CS-O2-4HR,SupportEdge Premium 4hr Onsite,1,1,S,"17,289.72","17,289.72",,,"8,814.41","8,814.41",49.02,36,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362798866,3627989431,Y-Orderable Part,FAS2720A,,,,,,,,,,,,"$2,666.91 ",$0.00 ,"$6,147.50 ",,,,
